t,x,y
0.0,0.5671137729573099,1.0077871043769193
2.3076923076923075,0.542498029583239,1.4462123758209289
3.076923076923077,0.6648762455331894,0.88312208713068
4.358974358974359,1.0434029232466138,1.1120691172956263
4.615384615384615,1.0232147978101693,1.507826355603473
7.948717948717949,0.8411535353754396,0.891143267027317
8.717948717948717,1.2170487530220557,1.7147980354860342
8.974358974358974,1.0623770631832956,1.9506369748102974
10.0,0.5716636584353032,1.7083685002373346
10.0,0.6288512839527935,1.591274868860943
