t,x,y
0.12658227848101267,1.0220680854689843,0.8821606039276774
0.25316455696202533,1.0621086544483238,0.7812806862818739
0.379746835443038,1.119395883565792,0.6962166470992397
1.2658227848101267,2.024974727283655,0.4452669478221296
1.3924050632911393,2.230234095375689,0.45241186016629703
1.6455696202531647,2.6829926295492874,0.5074174414948839
1.8987341772151898,3.140095462622523,0.6397288209333003
2.5316455696202533,3.283526774227501,1.559930490595874
3.670886075949367,1.0649544038199474,1.464716101946126
3.9240506329113924,0.9972151570687607,1.1434804408384838
3.9240506329113924,0.9972151570687607,1.1434804408384838
4.6835443037974684,1.2783375779754607,0.5707935174431162
4.810126582278481,1.386773757731143,0.5245247306614875
5.3164556962025316,2.012160477713722,0.44450822309668503
5.69620253164557,2.6677590115263965,0.504213207800813
6.962025316455696,2.3006192115263224,2.118797044080972
7.215189873417722,1.6684557594060463,2.1025876361482756
7.974683544303797,1.0000954499017087,1.1544230983319257
9.240506329113924,1.815054895541796,0.4518468496390135
9.873417721518987,2.885877389677259,0.5539491741788974
